Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Company,Sector,Market Cap,Forward PE,EPS,Revenue,Net Income,Profit Margin,Return on Equity
2020-03-31,61.38648986816406,63.5724983215332,65.62249755859375,63.0,63.900001525878906,197002000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-01,58.156517028808594,60.227500915527344,62.18000030517578,59.782501220703125,61.625,176218400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-02,59.126949310302734,61.23249816894531,61.28749847412109,59.22499847412109,60.084999084472656,165934000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-03,58.27721786499024,60.352500915527344,61.42499923706055,59.74250030517578,60.70000076293945,129880000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-06,63.361175537109375,65.61750030517578,65.77749633789062,62.345001220703125,62.72499847412109,201820400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-07,62.62730407714844,64.85749816894531,67.92500305175781,64.75,67.69999694824219,202887200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-08,64.23023223876953,66.51750183105469,66.84249877929688,65.30750274658203,65.68499755859375,168895200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-09,64.69375610351562,66.99749755859375,67.51750183105469,66.17500305175781,67.17500305175781,161834800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-13,65.96350860595703,68.3125,68.42500305175781,66.4574966430664,67.07749938964844,131022800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-14,69.29487609863281,71.76249694824219,72.0625,69.51249694824219,70.0,194994800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
